commit	val_bpb	memory_gb	status	description
f5979a7	0.972128	60.2	keep	init scale 0.7x
2216fd6	0.973025	60.2	discard	init scale 0.65x (0.7 better)
ddcd35a	0.972587	60.2	discard	embedding init std 1.0 to 0.7
8934eec	0.972776	60.2	discard	lm_head init std 0.001 to 0.002
92b4765	0.973847	60.2	discard	small random init for c_proj (worse)
d385aa7	0.972901	60.2	discard	scalar LR 0.5 to 0.7
db37d12	0.973155	60.2	discard	unembedding LR 0.005 to 0.004
f04daec	0.973155	60.2	discard	weight decay 0.2 to 0.25
d931c3a	0.975790	60.2	discard	x0_lambda init 0.05 to 0.04 (worse)
c5a4645	0.972216	60.2	discard	VE init scale 0.5x of transformer init
30f1b8d	0.973361	60.2	discard	cosine warmdown schedule (linear better)
5a9c951	0.972877	63.1	discard	MLP hidden 4x to 4.5x (fewer steps)
ab8f970	0.975964	60.2	discard	decreasing resid_lambda init (hurts)
2a3f587	0.972901	60.2	discard	softcap 15 to 14
362937e	0.972495	60.2	discard	VE gate channels 32 to 16
0d77d4d	0.972621	60.2	discard	Adam beta2 0.95 to 0.99
4eebd43	0.973493	60.2	discard	x0_lambda LR 2x
b85567f	0.979987	52.0	discard	multi-query attention n_kv_head=1 (too few KV heads)
0da44e6	0.973545	60.2	discard	small nonzero init for c_proj (zero better)
d6c139a	0.973831	60.2	discard	embedding init std 1.0 to 0.5
d70987b	3.215849	60.2	discard	weight tying (shared embed/unembed, broken)
bff5cda	0.975852	59.5	discard	VE every 3rd layer (too few VEs)
5953d58	0.973423	60.2	discard	WD constant until warmdown then decay
d1eb994	0.974314	60.2	discard	smaller QK init 0.5x (uniform init matters for Muon)
3c19fba	0.974046	60.2	discard	depth-dependent init scale 1/sqrt(layer+1)
119065a	0.972335	60.2	discard	init scale 0.7 to 0.72
97dda85	0.972097	60.2	keep	init scale 0.7 to 0.68
58b8b7a	0.972350	60.2	discard	init scale 0.68 to 0.66 (0.68 better)
70c2737	0.972731	60.2	discard	Muon NorMuon beta2 0.95 to 0.98
8232e01	0.973000	60.2	discard	resid_lambda LR 0.01x to 0.04x
21389c4	0.973723	60.2	discard	Adam beta1 0.8 to 0.9
e4c0f3e	0.974043	60.2	discard	short window 1/6 context (slower)
2e2a2f8	0.972632	60.2	discard	short window 1/10 context (quality loss)
9db7b86	0.972744	60.2	discard	lm_head init std 0.001 to 0.0005
ece9101	0.972009	60.2	keep	tiny embedding WD 0.001
b07c56b	0.972438	60.2	discard	embedding WD 0.001 to 0.002
1a85362	0.971058	60.2	keep	tiny VE WD 0.001
73c77ca	0.970655	60.2	keep	VE WD 0.001 to 0.002
637f82f	0.970433	60.2	keep	VE WD 0.002 to 0.003
c152812	0.970644	60.2	discard	VE WD 0.003 to 0.005 (0.003 better)
efd2171	0.970703	60.2	discard	embedding WD 0.001 to 0.002
328de7c	0.970612	60.2	discard	lm_head WD 0.01 to 0.02
c0c2349	0.970758	60.2	discard	lm_head WD 0.01 to 0.005
b1d5004	0.969952	60.2	keep	embedding LR 0.8 to 0.9 (with WD)
2ca8872	0.970767	60.2	discard	embedding LR 0.9 to 1.0
74a3b33	0.970759	60.2	discard	unembedding LR 0.005 to 0.006
d1f68da	0.970106	60.2	discard	embedding WD 0.001 to 0.002 (with LR 0.9)
ebbe8c0	0.971004	60.2	discard	matrix LR 0.04 to 0.045
b9ee7d6	0.970040	60.2	discard	VE WD 0.003 to 0.004
2f0a8ec	0.970573	60.2	discard	Muon WD 0.2 to 0.22
438a26e	0.969686	60.2	keep	warmdown 0.7 to 0.75
d9322b9	0.970244	60.2	discard	warmdown 0.75 to 0.8
8876cf3	0.969714	60.2	discard	FINAL_LR_FRAC 0.05 to 0.03
80330e2	0.970135	60.2	discard	x0_lambda init 0.05 to 0.06
2f0cec6	0.970678	60.2	discard	RoPE base 200K to 300K
c044a14	0.970212	60.2	discard	VE gate scale 2 to 3
80a519a	0.969857	60.2	discard	VE LR 1.5x with WD
a6b6476	0.970286	60.2	discard	muon momentum warmup 200 to 150 steps
